OBJECTID,STATION_KEY,DECIMAL_LAT,DECIMAL_LONG,HUC12,HUC10,HUC8,HUC6,HUType
1,38299,43.587181000000001,-124.184546000000000,171003040403,1710030404,17100304,171003,S
2,38298,43.621760000000002,-124.155530000000000,171003040403,1710030404,17100304,171003,S
3,38297,43.615974000000001,-124.156443000000000,171003040403,1710030404,17100304,171003,S
4,38296,43.608319999999999,-124.160659999999990,171003040403,1710030404,17100304,171003,S
5,38295,43.602657999999998,-124.166933000000000,171003040403,1710030404,17100304,171003,S
6,38294,43.607633999999997,-124.044942000000010,171003040401,1710030404,17100304,171003,S
7,38293,43.607911000000001,-124.053859000000000,171003040401,1710030404,17100304,171003,S
8,38292,43.605502999999999,-124.059922000000000,171003040401,1710030404,17100304,171003,S
9,38291,43.531438999999999,-124.063233000000000,171003040402,1710030404,17100304,171003,S
10,38290,44.651694050000003,-117.493332800000000,170502020705,1705020207,17050202,170502,S
11,38289,44.649957200000003,-117.493722500000000,170502020705,1705020207,17050202,170502,S
12,38288,44.792874720000000,-117.136633800000000,170502031102,1705020311,17050203,170502,S
13,38287,44.855172879999998,-117.016582799999990,170502010604,1705020106,17050201,170502,S
14,38286,44.739502829999999,-117.193206000000000,170502030905,1705020309,17050203,170502,S
15,38285,44.941549920000000,-117.707029800000000,170502030704,1705020307,17050203,170502,S
16,38284,44.918764950000003,-117.476329699999990,170502030805,1705020308,17050203,170502,S
17,38283,44.303480000000000,-120.900409999999990,170703051002,1707030510,17070305,170703,S
18,38282,42.186329999999998,-122.790639000000000,171003080108,1710030801,17100308,171003,S
19,38281,42.237229999999997,-122.786444000000000,171003080108,1710030801,17100308,171003,S
20,38280,42.382320000000000,-122.934402800000000,171003080112,1710030801,17100308,171003,S
21,38279,45.497086000000003,-122.569838000000000,170900120202,1709001202,17090012,170900,M
22,38278,45.526893999999999,-122.495998000000000,170900120103,1709001201,17090012,170900,S
23,38277,45.526893999999999,-122.495997000000000,170900120103,1709001201,17090012,170900,S
24,38276,45.496313000000001,-122.537139999999990,170900120103,1709001201,17090012,170900,S
25,38275,45.496315000000003,-122.537130000000000,170900120103,1709001201,17090012,170900,S
26,38274,45.496316999999998,-122.537150000000000,170900120103,1709001201,17090012,170900,S
27,38273,45.496319000000000,-122.537113000000010,170900120103,1709001201,17090012,170900,S
28,38272,45.476551999999998,-122.548942999999990,170900120103,1709001201,17090012,170900,S
29,38271,45.525095000000000,-122.538462999999990,170900120202,1709001202,17090012,170900,M
30,38270,45.525092999999998,-122.538465000000000,170900120202,1709001202,17090012,170900,M
31,38269,45.525092999999998,-122.538462999999990,170900120202,1709001202,17090012,170900,M
32,38268,45.525092999999998,-122.538461000000000,170900120202,1709001202,17090012,170900,M
33,38267,45.520910000000001,-122.538465000000000,170900120202,1709001202,17090012,170900,M
34,38266,45.525091000000003,-122.538462999999990,170900120202,1709001202,17090012,170900,M
35,38265,45.487000000000002,-122.660700000000010,170900120202,1709001202,17090012,170900,M
36,38264,45.492699999999999,-122.663700000000010,170900120202,1709001202,17090012,170900,M
37,38263,44.331600000000002,-124.100399999999990,171002050503,1710020505,17100205,171002,F
38,38262,44.331600000000002,-124.101600000000000,171002050800,1710020508,17100205,171002,W
39,38180,43.684300000000000,-121.698200000000000,170703010207,1707030102,17070301,170703,S
40,38179,43.685200000000002,-121.698200000000000,170703010207,1707030102,17070301,170703,S
41,38178,43.694400000000002,-121.751800000000000,170703010207,1707030102,17070301,170703,S
42,38177,43.723500000000001,-121.796100000000000,170703010205,1707030102,17070301,170703,S
43,38176,43.771099999999997,-121.826200000000000,170703010108,1707030101,17070301,170703,S
44,38175,43.780099999999997,-121.837200000000000,170703010108,1707030101,17070301,170703,S
