Criteria.Name,WQP.Name,DEQ.Table.name
Polychlorinated Biphenyls (PCBs),Aroclor 1254,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),Aroclor 1254 mixt. with Aroclor 1260,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),Aroclor 1260,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),Aroclor 1262,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),Aroclor 1268,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),Aroclor 5460,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-105/132/153,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-106/118,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-107/108,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-107/109,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-107/124,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-108/112,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-110/115,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-111/115,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-112/119,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-12/13,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-123/149,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-123/153,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-128/162,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-128/166,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-128/167,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-129/138/160/163,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-129/138/163,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-132/153,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-132/161,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-133/142,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-134/143,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-135/144,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-135/151,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-135/151/154,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-136/148,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-137/176,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-138/160,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-138/163,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-138/163/164,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-139/140,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-139/149,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-141/179,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-146/165,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-147/149,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-15/17,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-153/168,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-153/173/201,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-156/157,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-158/160,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-16/32,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-163/164,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-17/18,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-170/190,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-171/173,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-171/202,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-172/197,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-18/30,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-180/193,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-182/187,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-183/185,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-195/208,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-196/203,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-197/200,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-198/199,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-20/21/33,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-20/28,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-20/33,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-21/33,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-22/51,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-24/27,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-26/29,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-28/31,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-37/42,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-37/42/59,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-4/10,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-40/41/71,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-41/64,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-41/64/71,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-41/64/71/72,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-42/59,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-43/49,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-44/47/65,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-45/51,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-47/48,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-47/75,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-48/75,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-49/69,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-5/8,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-50/53,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-52/69,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-55/91,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-56/60,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-59/62/75,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-61/70,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-61/70/74/76,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-61/74,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-64/72,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-65/75,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-66/76,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-66/95,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-7/9,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-70/76,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-77/110,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-80/95,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-83/99,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-84/92,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-85/116,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-85/116/117,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-86/87/97/108/119/125,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-86/97/117,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-87/115,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-87/117/125,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-88/91,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-90/101,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-90/101/113,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-93/95/98/100/102,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-93/98/100/102,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-93/98/102,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),PCB-95/98/102,Polychlorinated Biphenyls (PCBs)
Polychlorinated Biphenyls (PCBs),Total PCBs + PCTs,Polychlorinated Biphenyls (PCBs)
pH,pH,pH
Temperature,"Temperature, water",Temperature
Temperature,Temperature,Temperature
NA,"Hardness, Ca, Mg",NA
NA,"Hardness, Ca, Mg as CaCO3",NA
NA,"Hardness, Calcium",NA
NA,"Hardness, carbonate",NA
NA,"Hardness, carbonate as CaCO3",NA
NA,"Hardness, magnesium",NA
NA,Total Hardness,NA
NA,Calcium,NA
NA,Magnesium,NA
NA,Calcium as CaCO3,NA
NA,Magnesium as CaCO3,NA
Ammonia,Ammonia,Ammonia
Ammonia as N,Ammonia as N,Ammonia as N
Chlordane,"Chlordane, technical, and/or chlordane metabolites",Chlordane
Chlordane,Oxychlordane,Chlordane
Chlordane,cis-Nonachlor,Chlordane
Chlordane,trans-Nonachlor,Chlordane
Chlordane,Nonachlor,Chlordane
Chlordane,trans-Chlordane,Chlordane
Chlordane,cis-Chlordane,Chlordane
Chlordane,"Chlordane, technical",Chlordane
E. coli,Escherichia coli,E. coli
Fecal coliform,Fecal Coliform,Fecal coliform
Fecal coliform,Fecal coliforms,Fecal coliform
Enterococci,Enterococci,Enterococci
Enterococci,Enterococcus,Enterococci
Dissolved Oxygen,Dissolved Oxygen,Dissolved Oxygen
Dissolved Oxygen,Dissolved oxygen (DO),Dissolved Oxygen
